Lat,Log
33.95018559,-84.23498092
33.95102166,-84.23735205
33.95139922,-84.23997695
33.95133835,-84.24168327
33.95282458,-84.24268108
33.95392811,-84.24347506
33.95552378,-84.24457327
33.95723242,-84.24516337
33.95903895,-84.24666543
33.95878087,-84.24686928
33.95749937,-84.24818892
33.95644927,-84.2489936
33.95103838,-84.25109634
33.94957882,-84.25154698
33.94724703,-84.25136459
33.94493294,-84.25062436
33.9408031,-84.24929394
33.93796461,-84.24707468
33.93437505,-84.2445063
33.93241754,-84.25200177
33.93329246,-84.25358729
33.93528145,-84.25306388
33.93716229,-84.25203562
33.93924437,-84.24862003
33.9415899,-84.24390006
33.94382779,-84.24061611
33.94255538,-84.23908243
33.941051,-84.23770208
33.93772026,-84.23552789
33.93599872,-84.23378667
33.93545229,-84.22792243
33.9351228,-84.22476476
